tag_id,tag_name,parent_tag_id,tag_class,tag_level
L2_1,糖尿病,L1_1,内容标签,2
L2_2,2型糖尿病,L1_1,内容标签,2
L2_3,其它内分泌疾病,L1_2,内容标签,2
L2_4,糖尿病诊断,L1_3,内容标签,2
L2_5,新诊断的患者,L1_3,内容标签,2
L2_6,流行病学,L1_4,内容标签,2
L2_7,遗传,L1_4,内容标签,2
L2_8,疾病机制,L1_4,内容标签,2
L2_9,糖尿病风险,L1_4,内容标签,2
L2_10,糖尿病常识,L1_4,内容标签,2
L2_11,糖尿病预防,L1_5,内容标签,2
L2_12,糖尿病前期,L1_5,内容标签,2
L2_13,1型糖尿病,L1_6,内容标签,2
L2_14,儿童患者,L1_6,内容标签,2
L2_15,妊娠期糖尿病,L1_6,内容标签,2
L2_16,特殊类型糖尿病,L1_6,内容标签,2
L2_17,老年患者,L1_6,内容标签,2
L2_18,成年患者,L1_6,内容标签,2
L2_19,青少年患者,L1_6,内容标签,2
L2_20,住院/出院,L1_6,内容标签,2
L2_21,围手术期相关,L1_6,内容标签,2
L2_22,体型偏瘦,L1_6,内容标签,2
L2_23,体型正常,L1_6,内容标签,2
L2_24,体型超重/肥胖,L1_6,内容标签,2
L2_25,血糖监测,L1_7,内容标签,2
L2_26,空腹血糖,L1_7,内容标签,2
L2_27,餐后血糖,L1_7,内容标签,2
L2_28,餐前血糖,L1_7,内容标签,2
L2_29,糖化血红蛋白,L1_7,内容标签,2
L2_30,口服葡萄糖耐量试验,L1_7,内容标签,2
L2_31,胰岛功能,L1_7,内容标签,2
L2_32,胰岛素抵抗,L1_7,内容标签,2
L2_33,相关检查,L1_7,内容标签,2
L2_34,血糖波动,L1_8,内容标签,2
L2_35,血糖控制不佳,L1_8,内容标签,2
L2_36,血糖控制,L1_8,内容标签,2
L2_37,血糖仪,L1_8,内容标签,2
L2_38,心脑血管相关,L1_9,内容标签,2
L2_39,血压相关,L1_9,内容标签,2
L2_40,血脂相关,L1_9,内容标签,2
L2_41,糖尿病足相关,L1_9,内容标签,2
L2_42,眼病相关,L1_9,内容标签,2
L2_43,肾脏相关,L1_9,内容标签,2
L2_44,并发症/合并症,L1_9,内容标签,2
L2_45,急性/严重并发症,L1_9,内容标签,2
L2_46,肝脏相关,L1_9,内容标签,2
L2_47,呼吸系统相关,L1_9,内容标签,2
L2_48,神经病变相关,L1_9,内容标签,2
L2_49,认知相关,L1_9,内容标签,2
L2_50,风湿免疫性相关,L1_9,内容标签,2
L2_51,消化道相关,L1_9,内容标签,2
L2_52,骨骼肌肉相关,L1_9,内容标签,2
L2_53,皮肤相关,L1_9,内容标签,2
L2_54,精神/心理相关,L1_9,内容标签,2
L2_55,肿瘤相关,L1_9,内容标签,2
L2_56,不良症状/不良反应,L1_10,内容标签,2
L2_57,低血糖,L1_10,内容标签,2
L2_58,生活方式,L1_11,内容标签,2
L2_59,生殖/性功能相关,L1_11,内容标签,2
L2_60,饮食,L1_11,内容标签,2
L2_61,营养,L1_11,内容标签,2
L2_62,运动,L1_11,内容标签,2
L2_63,心理疏导,L1_11,内容标签,2
L2_64,糖尿病管理,L1_12,内容标签,2
L2_65,糖尿病注意事项,L1_12,内容标签,2
L2_66,糖尿病护理,L1_12,内容标签,2
L2_67,女性健康,L1_12,内容标签,2
L2_68,糖尿病患者教育,L1_13,内容标签,2
L2_69,手术治疗糖尿病,L1_14,内容标签,2
L2_70,治疗方案应用,L1_14,内容标签,2
L2_71,服药方式/剂量,L1_14,内容标签,2
L2_72,中医/中药,L1_15,内容标签,2
L2_73,口服药应用,L1_15,内容标签,2
L2_74,二甲双胍,L1_15,内容标签,2
L2_75,α-葡萄糖苷酶抑制剂,L1_15,内容标签,2
L2_76,胰岛素促泌剂,L1_15,内容标签,2
L2_77,DPP-4抑制剂,L1_15,内容标签,2
L2_78,SGLT2,L1_15,内容标签,2
L2_79,TZDs,L1_15,内容标签,2
L2_80,GLP1,L1_16,内容标签,2
L2_81,德谷胰岛素,L1_17,内容标签,2
L2_82,地特胰岛素,L1_17,内容标签,2
L2_83,甘精胰岛素,L1_17,内容标签,2
L2_84,门冬胰岛素,L1_17,内容标签,2
L2_85,重组人胰岛素,L1_17,内容标签,2
L2_86,人胰岛素类似物,L1_17,内容标签,2
L2_87,基础胰岛素,L1_17,内容标签,2
L2_88,短效/速效胰岛素,L1_17,内容标签,2
L2_89,预混胰岛素,L1_17,内容标签,2
L2_90,胰岛素强化治疗,L1_18,内容标签,2
L2_91,起始胰岛素治疗,L1_18,内容标签,2
L2_92,胰岛素知识,L1_18,内容标签,2
L2_93,胰岛素使用方法,L1_18,内容标签,2
L2_94,胰岛素笔/注射器,L1_18,内容标签,2
L2_95,针头的使用,L1_18,内容标签,2
L2_96,胰岛素泵,L1_18,内容标签,2
L2_97,如何注射胰岛素,L1_18,内容标签,2
L2_98,胰岛素的保存和携带,L1_18,内容标签,2
L2_99,数据统计,L1_19,内容标签,2
L2_100,临床分析/病例分析,L1_19,内容标签,2
L2_101,指南,L1_19,内容标签,2
L2_102,新进展,L1_19,内容标签,2
L2_103,新闻,L1_19,内容标签,2
L2_104,问答,L1_19,内容标签,2
L2_105,小贴示,L1_19,内容标签,2
L2_106,会议,L1_19,内容标签,2
L2_107,KOL,L1_19,内容标签,2
L2_108,价格资询,L1_19,内容标签,2
L2_109,会员积分相关,L1_19,内容标签,2
L2_110,基层,L1_19,内容标签,2
L1_1,,P1_1,内容标签,1
L1_2,其他内分泌疾病,P1_2,内容标签,1
L1_3,糖尿病诊断,P1_3,内容标签,1
L1_4,糖尿病疾病知识,P1_4,内容标签,1
L1_5,糖尿病前期,P1_5,内容标签,1
L1_6,特定类型糖尿病患者,P1_6,内容标签,1
L1_7,糖尿病临床指标,P1_7,内容标签,1
L1_8,血糖评估,P1_8,内容标签,1
L1_9,并发症/合并症,P1_9,内容标签,1
L1_10,不良反应,P1_10,内容标签,1
L1_11,生活方式干预,P1_11,内容标签,1
L1_12,糖尿病管理,P1_12,内容标签,1
L1_13,糖尿病患者教育,P1_12,内容标签,1
L1_14,糖尿病治疗,P1_13,内容标签,1
L1_15,口服降糖药,P1_14,内容标签,1
L1_16,GLP1药物,P1_15,内容标签,1
L1_17,胰岛素药物,P1_16,内容标签,1
L1_18,胰岛素应用,P1_17,内容标签,1
L1_19,一般资讯,P1_18,内容标签,1
P1_1,,,医生标签,
P1_2,关注其它内分泌疾病,,医生标签,
P1_3,关注糖尿病诊断,,医生标签,
P1_4,关注糖尿病疾病知识,,医生标签,
P1_5,关注糖尿病前期,,医生标签,
P1_6,关注特定类型糖尿病患者,,医生标签,
P1_7,关注糖尿病临床指标,,医生标签,
P1_8,关注血糖评估,,医生标签,
P1_9,关注并发症/合并症,,医生标签,
P1_10,关注不良身体状态/药物不良反应,,医生标签,
P1_11,关注生活方式干预,,医生标签,
P1_12,关注糖尿病管理,,医生标签,
P1_13,关注糖尿病治疗,,医生标签,
P1_14,关注口服降糖药,,医生标签,
P1_15,关注GLP1药物,,医生标签,
P1_16,关注胰岛素药物,,医生标签,
P1_17,关注胰岛素的应用,,医生标签,
P1_18,关注一般资讯,,医生标签,
