tag_id,tag_class,tag_level,tag_name,parent_tag_id,tag_keyword
L2_1,内容标签,2.0,糖尿病,L1_1,**
L2_2,内容标签,2.0,其它内分泌疾病,L1_1,**
L2_3,内容标签,2.0,流行病学,L1_2,**
L2_4,内容标签,2.0,遗传,L1_2,**
L2_5,内容标签,2.0,疾病机制,L1_2,**
L2_6,内容标签,2.0,糖尿病风险,L1_2,**
L2_7,内容标签,2.0,糖尿病诊断,L1_3,**
L2_8,内容标签,2.0,新诊断的患者,L1_3,**
L2_9,内容标签,2.0,血糖监测,L1_4,**
L2_10,内容标签,2.0,空腹血糖,L1_4,**
L2_11,内容标签,2.0,餐后血糖,L1_4,**
L2_12,内容标签,2.0,餐前血糖,L1_4,**
L2_13,内容标签,2.0,糖化血红蛋白,L1_4,**
L2_14,内容标签,2.0,口服葡萄糖耐量试验,L1_4,**
L2_15,内容标签,2.0,胰岛功能,L1_4,**
L2_16,内容标签,2.0,胰岛素抵抗,L1_4,**
L2_17,内容标签,2.0,2型糖尿病,L1_5,**
L2_18,内容标签,2.0,1型糖尿病,L1_6,**
L2_19,内容标签,2.0,糖尿病前期,L1_6,**
L2_20,内容标签,2.0,妊娠期糖尿病,L1_6,**
L2_21,内容标签,2.0,特殊类型糖尿病,L1_6,**
L2_22,内容标签,2.0,老年患者,L1_6,**
L2_23,内容标签,2.0,成年患者,L1_6,**
L2_24,内容标签,2.0,青少年患者,L1_6,**
L2_25,内容标签,2.0,儿童,L1_6,**
L2_26,内容标签,2.0,住院/出院患者,L1_6,**
L2_27,内容标签,2.0,围手术期患者,L1_6,**
L2_28,内容标签,2.0,体型偏瘦患者,L1_6,**
L2_29,内容标签,2.0,体型正常患者,L1_6,**
L2_30,内容标签,2.0,体型超重/肥胖患者,L1_6,**
L2_31,内容标签,2.0,血糖波动,L1_7,**
L2_32,内容标签,2.0,血糖控制不佳,L1_7,**
L2_33,内容标签,2.0,并发症/合并症,L1_8,**
L2_34,内容标签,2.0,急性/严重并发症,L1_8,**
L2_35,内容标签,2.0,酮症酸中毒,L1_8,**
L2_36,内容标签,2.0,肝病相关,L1_8,**
L2_37,内容标签,2.0,呼吸系统相关,L1_8,**
L2_38,内容标签,2.0,肾病相关,L1_8,**
L2_39,内容标签,2.0,神经病变,L1_8,**
L2_40,内容标签,2.0,糖尿病足,L1_8,**
L2_41,内容标签,2.0,心脑血管相关,L1_8,**
L2_42,内容标签,2.0,高血压相关,L1_8,**
L2_43,内容标签,2.0,高血脂相关,L1_8,**
L2_44,内容标签,2.0,视网膜病变,L1_8,**
L2_45,内容标签,2.0,风湿性疾病,L1_8,**
L2_46,内容标签,2.0,性功能问题,L1_8,**
L2_47,内容标签,2.0,胃肠不适,L1_8,**
L2_48,内容标签,2.0,骨相关问题,L1_8,**
L2_49,内容标签,2.0,皮肤病变,L1_8,**
L2_50,内容标签,2.0,精神/心理相关,L1_8,**
L2_51,内容标签,2.0,肿瘤相关,L1_8,**
L2_52,内容标签,2.0,不良反应,L1_9,**
L2_53,内容标签,2.0,低血糖,L1_9,**
L2_54,内容标签,2.0,生活方式,L1_10,**
L2_55,内容标签,2.0,饮食,L1_10,**
L2_56,内容标签,2.0,营养,L1_10,**
L2_57,内容标签,2.0,运动,L1_10,**
L2_58,内容标签,2.0,手术治疗,L1_11,**
L2_59,内容标签,2.0,治疗方案应用,L1_11,**
L2_60,内容标签,2.0,用药剂量,L1_11,**
L2_61,内容标签,2.0,糖尿病管理,L1_11,**
L2_62,内容标签,2.0,二甲双胍,L1_12,**
L2_63,内容标签,2.0,α-葡萄糖苷酶抑制剂,L1_12,**
L2_64,内容标签,2.0,胰岛素促泌剂,L1_12,**
L2_65,内容标签,2.0,DPP-4抑制剂,L1_12,**
L2_66,内容标签,2.0,SGLT2,L1_12,**
L2_67,内容标签,2.0,TZDs,L1_12,**
L2_68,内容标签,2.0,GLP1,L1_13,**
L2_69,内容标签,2.0,德谷胰岛素,L1_14,**
L2_70,内容标签,2.0,地特胰岛素,L1_14,**
L2_71,内容标签,2.0,甘精胰岛素,L1_14,**
L2_72,内容标签,2.0,门冬胰岛素,L1_14,**
L2_73,内容标签,2.0,重组人胰岛素,L1_14,**
L2_74,内容标签,2.0,人胰岛素类似物,L1_14,**
L2_75,内容标签,2.0,基础胰岛素,L1_14,**
L2_76,内容标签,2.0,短效/速效胰岛素,L1_14,**
L2_77,内容标签,2.0,预混胰岛素,L1_14,**
L2_78,内容标签,2.0,胰岛素笔/注射器,L1_15,**
L2_79,内容标签,2.0,胰岛素泵,L1_15,**
L2_80,内容标签,2.0,胰岛素使用方法,L1_15,**
L2_81,内容标签,2.0,起始胰岛素治疗,L1_15,**
L2_82,内容标签,2.0,胰岛素强化治疗,L1_15,**
L2_83,内容标签,2.0,糖尿病患者教育,L1_16,**
L2_84,内容标签,2.0,数据统计,L1_17,**
L2_85,内容标签,2.0,临床分析/病例分析,L1_17,**
L2_86,内容标签,2.0,指南,L1_17,**
L2_87,内容标签,2.0,新进展,L1_17,**
L2_88,内容标签,2.0,小贴示,L1_17,**
L2_89,内容标签,2.0,会议,L1_17,**
L2_90,内容标签,2.0,KOL,L1_17,**
L2_91,内容标签,2.0,基层,L1_17,**
L1_1,内容标签,1.0,内分泌科疾病,**,**
L1_2,内容标签,1.0,糖尿病疾病知识,H1_1,**
L1_3,内容标签,1.0,糖尿病诊断,H1_2,**
L1_4,内容标签,1.0,糖尿病临床指标,H1_3,**
L1_5,内容标签,1.0,特定糖尿病患者,**,**
L1_6,内容标签,1.0,特定类型糖尿病患者,H1_4,**
L1_7,内容标签,1.0,血糖评估,H1_5,**
L1_8,内容标签,1.0,并发症/合并症,H1_6,**
L1_9,内容标签,1.0,不良反应,H1_7,**
L1_10,内容标签,1.0,生活方式干预,H1_8,**
L1_11,内容标签,1.0,糖尿病治疗,H1_9,**
L1_12,内容标签,1.0,口服降糖药,H1_10,**
L1_13,内容标签,1.0,GLP1药物,H1_11,**
L1_14,内容标签,1.0,胰岛素药物,H1_12,**
L1_15,内容标签,1.0,胰岛素的应用,H1_13,**
L1_16,内容标签,1.0,糖尿病患者教育,H1_14,**
L1_17,内容标签,1.0,一般资讯,H1_15,**
H1_1,医生标签,,关注糖尿病疾病知识,**,**
H1_2,医生标签,,关注糖尿病诊断,**,**
H1_3,医生标签,,关注糖尿病临床指标,**,**
H1_4,医生标签,,关注特定类型糖尿病患者,**,**
H1_5,医生标签,,关注血糖评估,**,**
H1_6,医生标签,,关注并发症/合并症,**,**
H1_7,医生标签,,关注不良反应,**,**
H1_8,医生标签,,关注生活方式干预,**,**
H1_9,医生标签,,关注糖尿病治疗,**,**
H1_10,医生标签,,关注口服降糖药,**,**
H1_11,医生标签,,关注GLP1药物,**,**
H1_12,医生标签,,关注胰岛素药物,**,**
H1_13,医生标签,,关注胰岛素的应用,**,**
H1_14,医生标签,,关注糖尿病患者教育,**,**
H1_15,医生标签,,关注一般资讯,**,**
